"药品编码","药品名称","险种限制","机构限制","就医限制","专科限制","性别限制","年龄限制","疾病限制","阶梯限制","用量限制","额度限制","疗程限制","领域标识"
"ZG02AAG0401","归芪活血胶囊","","","","","","","(颈椎病)","",,,,""
"XB06ACL388B0","拉那利尤单抗","","","","","","","(HAE|血管性水肿)","",,,,""
"XC05BAD165F0","多磺酸粘多糖","","","","","","","(血栓性静脉炎)","",,,,""
"XD11AHA379A0","阿布昔替尼","","","","","","","(特应性皮炎)","",,,,""
"XJ01DET084B0","头孢匹罗","","","","","","","(重症感染|败血症)","",,,,"感染用药"
"XJ01DHM046B0","美罗培南","","","","","","","(重症感染|败血症)","",,,,"感染用药"
"XJ01MAM122B0","莫西沙星","","","","","","","(重症感染|败血症)","",,,,"感染用药"
"XJ01XXL070A0","利奈唑胺","","","","","","","(重症感染|败血症)","",,,,"感染用药"
"XJ02ACB206X0","泊沙康唑口服混悬","","","","","","","(感染|曲霉菌|念球菌|接合菌)","",,,,""
"XA02BCF721A0","伏诺拉生","","","","","","","(反流性食管炎)","",,,,""
"XA05BAJ212B0","精氨酸谷氨酸","","","","","","","(肝性脑病)","",,,,""
"XA10BJB219B0","贝那鲁肽","","","","","","","(2型糖尿病)","",,,,""
"XA10BJS279B0","司美格鲁肽","","","","","","","(2型糖尿病)","",,,,""
"XB01AFA319A0","甲苯磺酸艾多沙班","","","","","","","(房颤|静脉血栓|肺栓塞)","",,,,""
"XB02BDC110B0","重组人凝血因子","","","","","","","(出血|血友病)","",,,,""
"XB02BXK018B0","卡络磺钠","","","","","","","(出血|血小板减少性紫癜)","",,,,""
"XJ05AFA353A0","艾米替诺福韦","","","","","","","(乙型肝炎)","",,,,""
"XJ05AFE013N0","恩替卡韦","","","","","","","(乙型肝炎)","",,,,""
"XJ05ARA315A0","艾考恩丙替","","","","","","","(HIV|人类免疫缺陷病毒|艾滋病)","",,,,""
"XJ05ARD349A0","多拉米替","","","","","","","(HIV|艾滋病|获得性免疫缺陷)","",,,,""
