"主项编码","主项名称","过度周期","过度限制","领域标识"
"002305000080001","肾图(无计算机设备减收)","每周","1","检查"
"002305000090002","介入肾图(无计算机设备减收)","每周","1","检查"
"002206000090100","负荷超声心动图(药物注射)","每周","1","检查"
"002206000090200","负荷超声心动图(运动试验)","每周","1","检查"
"003103000650000","视网膜电流图(ERG)","每周","1","一般诊疗"
"003103000660000","视网膜地形图","每周","1","一般诊疗"
"003103000650000","视网膜电流图(ERG)","每周","1","一般诊疗"
"003107010010000","常规心电图检查","每周","1","心电"
"003107010020000","食管内心电图","每周","1","心电"
"003104010140000","耳蜗电图","每周","1","一般诊疗"
"003101000080000","神经电图","每周","1","一般诊疗"
"003103000400000","角膜地形图检查","每周","1","一般诊疗"
"003105040030100","面神经肌电图检查(额)","每周","1","肌电"
"003105040030200","面神经肌电图检查(眼)","每周","1","肌电"
"003105040030300","面神经肌电图检查(上唇)","每周","1","肌电"
"003105040030400","面神经肌电图检查(下唇)","每周","1","肌电"
"003101000010000","脑电图","每周","1","脑电"
"003101000020000","特殊脑电图","每周","1","脑电"
"003101000020100","特殊脑电图(特殊电极(鼻咽或蝶骨或皮层等))","每周","1","脑电"
"003101000020200","特殊脑电图(特殊诱发)","每周","1","脑电"
"003101000030000","脑地形图","每周","1","脑电"
"003107010100000","心电图踏车负荷试验","每周","1","一般诊疗"
"003107010100100","心电图踏车负荷试验(二阶梯)","每周","1","一般诊疗"
"003107010100200","心电图踏车负荷试验(平板运动试验)","每周","1","一般诊疗"
"003107010110000","心电图药物负荷试验","每周","1","一般诊疗"
"003107010120000","心电向量图","每周","1","一般诊疗"
"003107010130000","心音图","每周","1","一般诊疗"
"003109020010000","胃肠电图","每周","1","一般诊疗"
"003103000670000","眼电图(EOG)","每周","1","一般诊疗"
"003103000670000","眼电图(EOG)","每周","1","一般诊疗"
"003101000240000","单纤维肌电图","每周","1","肌电"
"003101000230000","肌电图","每周","1","肌电"
"003101000230100","肌电图(眼肌电图)","每周","1","肌电"
"003115010031300","精神科C类量表测查(艾森克个性测验)","每月","1","精神治疗"
"003115010031500","精神科C类量表测查(十六种人格问卷)","每月","1","精神治疗"
"003115010031900","精神科C类量表测查(韦氏智力测定(学前、学龄))","每月","1","精神治疗"
"003115010032000","精神科C类量表测查(儿童发育量表(PEP))","每月","1","精神治疗"
"003115010030000","精神科C类量表测查","每月","1","精神治疗"
"003115010030000","精神科C类量表测查","每月","1","精神治疗"
"003115010020700","精神科B类量表测查(社会功能缺陷筛选量表)","每月","1","精神治疗"
"003115010031200","精神科C类量表测查(明尼苏达多相个性测验)","每月","1","精神治疗"
"002504030420000","细菌抗体测定","每月","1","化验"
"002504030440000","抗链球菌透明质酸酶试验","每月","1","化验"
"002504030450000","鼠疫血清学试验","每月","1","化验"
"002504030500000","肺炎支原体血清学试验","每月","1","化验"
"002504030510000","沙眼衣原体肺炎血清学试验","每月","1","化验"
"002504030520000","立克次体血清学试验","每月","1","化验"
"002504030530000","梅毒螺旋体特异抗体测定","每月","1","化验"
"002504030230000","单纯疱疹病毒抗体测定","每月","1","化验"
"002504030230000","单纯疱疹病毒抗体测定","每月","1","化验"
"002504030230000","单纯疱疹病毒抗体测定","每月","1","化验"
"002504030230000","单纯疱疹病毒抗体测定","每月","1","化验"
"002504030250100","EB病毒抗体测定(IgG)","每月","1","化验"
"002504030250200","EB病毒抗体测定(IgM)","每月","1","化验"
"002504030260000","呼吸道合胞病毒抗体测定","每月","1","化验"
"002504030830000","流感病毒抗体检测","每月","1","化验"
"002504030830000","流感病毒抗体检测","每月","1","化验"
"002504030310000","腺病毒抗体测定","每月","1","化验"
"002504030540000","快速血浆反应素试验(RPR)","每月","1","化验"
"002504030540000","快速血浆反应素试验(RPR)","每月","1","化验"
"002504030560000","钩端螺旋体病血清学试验","每月","1","化验"
"002504030580000","念珠菌病血清学试验","每月","1","化验"
"002504040010000","癌胚抗原测定(CEA)","每月","1","化验"
"002504040020000","甲胎蛋白测定(AFP)","每月","1","化验"
"002504040050000","总前列腺特异性抗原测定(TPSA)","每月","1","化验"
"002503100620000","性激素结合球蛋白(SHBG)测定","每月","1","化验"
"332504021230000","抗甲状腺过氧化物酶抗体测定","每月","1","化验"
"002504010380000","脂多糖结合蛋白测定","每月","1","化验"
"002504020180000","抗甲状腺微粒体抗体测定(TMAb)","每月","1","化验"
"002504020190000","抗肾小球基底膜抗体测定","每月","1","化验"
"002504020250000","抗硬皮病抗体测定","每月","1","化验"
"002504020260000","抗胰岛素抗体测定","每月","1","化验"
"002504020270000","抗胰岛素受体抗体测定","每月","1","化验"
"002504020280000","抗乙酰胆碱受体抗体测定","每月","1","化验"
"002504020290000","抗磷壁酸抗体测定","每月","1","化验"
"002504020300100","抗鞘磷脂抗体测定(IgA)","每月","1","化验"
"002504020300200","抗鞘磷脂抗体测定(IgG)","每月","1","化验"
"002504020300300","抗鞘磷脂抗体测定(IgM)","每月","1","化验"
"002504020310100","抗白蛋白抗体测定(IgA)","每月","1","化验"
"002504020310200","抗白蛋白抗体测定(IgG)","每月","1","化验"
"002504020310300","抗白蛋白抗体测定(IgM)","每月","1","化验"
"002504020330100","抗载脂蛋白抗体测定(A1抗体)","每月","1","化验"
"002504020330200","抗载脂蛋白抗体测定(B抗体)","每月","1","化验"
"002504020340000","抗内因子抗体测定","每月","1","化验"
"002504040060000","游离前列腺特异性抗原测定(FPSA)","每月","1","化验"
"002504040090000","神经元特异性烯醇化酶测定(NSE)","每月","1","化验"
"002504040100000","细胞角蛋白19片段测定(CYFRA21-1)","每月","1","化验"
"002504040110000","糖类抗原测定","每月","1","化验"
"002504040110000","糖类抗原测定","每月","1","化验"
"002504040110000","糖类抗原测定","每月","1","化验"
"002504040110000","糖类抗原测定","每月","1","化验"
"002504040110000","糖类抗原测定","每月","1","化验"
"002504040110000","糖类抗原测定","每月","1","化验"
"002504040110000","糖类抗原测定","每月","1","化验"
"002504040120000","鳞状细胞癌相关抗原测定(SCC)","每月","1","化验"
"002504040130000","肿瘤坏死因子测定(TNF)","每月","1","化验"
"002504040140000","肿瘤相关抗原测定","每月","1","化验"
"002504040140000","肿瘤相关抗原测定","每月","1","化验"
"002504040140000","肿瘤相关抗原测定","每月","1","化验"
"002504040140000","肿瘤相关抗原测定","每月","1","化验"
"002504040140000","肿瘤相关抗原测定","每月","1","化验"
"002504040150000","铁蛋白测定","每月","1","化验"
"002504040160000","显形胶质蛋白(AP)测定","每月","1","化验"
"002504040170000","恶性肿瘤特异生长因子(TSGF)测定","每月","1","化验"
"002504050010000","总IgE测定","每月","1","化验"
"002504050020000","吸入物变应原筛查","每月","1","化验"
"002504050030000","食入物变应原筛查","每月","1","化验"
"002504050040000","特殊变应原(多价变应原)筛查","每月","1","化验"
"002504050060000","嗜酸细胞阳离子蛋白(ECP)测定","每月","1","化验"
"002504050070000","循环免疫复合物(CIC)测定","每月","1","化验"
"002504030190000","人免疫缺陷病毒抗体测定(Anti-HIV)","每月","1","化验"
"002504030200000","弓形体抗体测定","每月","1","化验"
"002504030200000","弓形体抗体测定","每月","1","化验"
"002504030210000","风疹病毒抗体测定","每月","1","化验"
"002504030220100","巨细胞病毒抗体测定(IgG)","每月","1","化验"
"002504030220200","巨细胞病毒抗体测定(IgM)","每月","1","化验"
"002504010010000","T淋巴细胞转化试验","每月","1","化验"
"002504010030000","红细胞花环试验","每月","1","化验"
"002504010040000","细胞膜表面免疫球蛋白测定(SmIg)","每月","1","化验"
"002504010050000","中性粒细胞趋化功能试验","每月","1","化验"
"002504010070000","白细胞粘附抑制试验","每月","1","化验"
"002504010080000","白细胞杀菌功能试验","每月","1","化验"
"002504010090000","白细胞吞噬功能试验","每月","1","化验"
"002504010110000","自然杀伤淋巴细胞功能试验","每月","1","化验"
"002504010120000","抗体依赖性细胞毒性试验","每月","1","化验"
"002504010150000","溶菌酶测定","每月","1","化验"
"002504020360000","抗增殖细胞核抗原抗体(抗PCNA)测定","每月","1","化验"
"002504020370000","分泌型免疫球蛋白A测定","每月","1","化验"
"002504020380000","抗角蛋白抗体(AKA)测定","每月","1","化验"
"002504020400000","抗肝肾微粒体抗体(LKM)测定","每月","1","化验"
"002504030010100","甲型肝炎抗体测定(IgG)","每月","1","化验"
"002504030010200","甲型肝炎抗体测定(IgM)","每月","1","化验"
"002504030020000","甲型肝炎抗原测定(HAVAg)","每月","1","化验"
"002504030040000","乙型肝炎表面抗原测定(HBsAg)","每月","1","化验"
"002504030050000","乙型肝炎表面抗体测定(AntiHBs)","每月","1","化验"
"002504030060000","乙型肝炎e抗原测定(HBeAg)","每月","1","化验"
"002507000140000","培养细胞的染色体分析","每月","1","化验"
"002507000100000","唐氏综合症筛查","每月","1","化验"
"002507000120000","脱氧核糖核酸(DNA)倍体分析","每月","1","化验"
"002507000150000","苯丙氨酸测定(PKU)","每月","1","化验"
"002507000010000","外周血细胞染色体检查","每月","1","化验"
"002507000050000","脐血染色体检查","每月","1","化验"
"002507000140000","培养细胞的染色体分析","每月","1","化验"
"002504020040000","抗单链DNA测定","每月","1","化验"
"002504020050400","抗中性粒细胞胞浆抗体测定(CANCA)","每月","1","化验"
"002504020050100","抗中性粒细胞胞浆抗体测定(pANCA)","每月","1","化验"
"002504020050200","抗中性粒细胞胞浆抗体测定(PR3-ANCA)","每月","1","化验"
"002504020050300","抗中性粒细胞胞浆抗体测定(MPO-ANCA)","每月","1","化验"
"002504020060000","抗双链DNA测定(抗dsDNA)","每月","1","化验"
"002504020070000","抗线粒体抗体测定(AMA)","每月","1","化验"
"002504020440000","抗核小体抗体测定(AnuA)","每月","1","化验"
"002504020490000","抗组蛋白抗体(AHA)测定","每月","1","化验"
"002504020250000","抗硬皮病抗体测定","每月","1","化验"
"002504020080000","抗核骨架蛋白抗体测定(amin)","每月","1","化验"
"002504020090000","抗核糖体抗体测定","每月","1","化验"
"002504020100000","抗核糖核蛋白抗体测定","每月","1","化验"
"002504020110000","抗染色体抗体测定","每月","1","化验"
