"诊疗编码","诊疗名称","险种限制","机构限制","就医限制","专科限制","性别限制","年龄限制","疾病限制","人次限制","次数限制","数量限制","额度限制","疗程限制","领域标识"
"003401000230600","牵引(悬吊治疗)","","","","","","","",,1,,,20,"物理治疗"
"001216000010100","导尿(留置导尿)","","","","","","","",,1,,,,"一般诊疗"
"003104010440000","导管法咽鼓管吹张","","","","","","","",,1,,,,"耳鼻喉"
"004400000010100","灸法(艾条灸)","","","","","","","",,1,,,20,"中医治疗"
"002101030160000","口服法小肠造影","","","","","","","",,1,,,,"放射"
"002206000090000","负荷超声心动图","","","","","","","",,1,,,,"B超"
"004300000160100","电针(普通电针)","","","","","","","",,1,20,,20,"中医治疗"
"004300000010100","普通针刺(体针)","","","","","","","",,1,20,,20,"中医治疗"
"002105000010000","红外热象检查","","","","","","","",,1,,,,"放射"
"003104010010000","听性脑干反应","","","","","","","",,1,,,,"耳鼻喉"
"003401000120200","超短波短波治疗(大功率超短波和短波)","","","","","","","",,1,2,,20,"物理治疗"
"003105060030000","关节腔压力测定","","","","","","","",,1,,,,"口腔"
"003401000120100","超短波短波治疗(小功率超短波和短波)","","","","","","","",,1,2,,20,"物理治疗"
"003103000240000","正切尺检查","","","","","","","",,1,,,,"眼科"
"004300000010500","普通针刺(姜针)","","","","","","","",,1,20,,20,"中医治疗"
"331201000350000","等级护理","","","","","","","",,1,,,,"护理"
"002203020050000","腹部大血管彩色多普勒超声","","","","","","","",,1,,,,"B超"
"003103000050300","视野检查(普通视野计)","","","","","","","",,1,,,,"眼科"
"002206000100000","左心功能测定","","","","","","","",,1,,,,"B超"
"004500000010000","落枕推拿治疗","","","","","","","",,1,,,20,"中医治疗"
"002101030200000","静脉胆道造影","","","","","","","",,1,,,,"放射"
"002203020070000","双肾及肾血管彩色多普勒超声","","","","","","","",,1,,,,"B超"
"003110000310000","膀胱灌注","","","","","","","",,1,,,,"一般诊疗"
"003103000410000","角膜内皮镜检查","","","","","","","",,1,,,,"眼科"
"003103000420000","角膜厚度检查","","","","","","","",,1,,,,"眼科"
"004500000050000","急性腰扭伤推拿治疗","","","","","","","",,1,,,20,"中医治疗"
"003312030090000","输精管粘堵术","","","","","","","",,1,,,,"泌尿"
"333300000010000","辅助操作","","","","","","","",,1,,2500,,"一般诊疗"
"004100000120000","割治","","","","","","","",,1,,,20,"中医治疗"
"004400000010400","灸法(天灸)","","","","","","","",,1,,,20,"中医治疗"
"004300000020000","温针","","","","","","","",,1,20,,20,"中医治疗"
"003108000030000","混合淋巴细胞培养","","","","","","","",,1,,,,"一般诊疗"
"003103000460000","前房深度测量","","","","","","","",,1,,,,"眼科"
"003104010310000","鼓膜贴补试验","","","","","","","",,1,,,,"耳鼻喉"
"003103000010000","普通视力检查","","","","","","","",,1,,,,"眼科"
"003401000230700","牵引(脊柱矫正治疗)","","","","","","","",,1,,,20,"物理治疗"
"004300000160200","电针(电热针灸)","","","","","","","",,1,20,,20,"中医治疗"
"003103000070000","验光","","","","","","","",,1,,,,"眼科"
"002302000060000","甲状腺静态显象","","","","","","","",,1,,,,"放射"
"002103000030000","脑池X线计算机体层(CT)含气造影","","","","","","","",,1,,,,"放射"
"003104010400000","鼓膜穿刺术","","","","","","","",,1,,,,"耳鼻喉"
"002202010010000","单脏器B超检查","","","","","","","",,1,,,,"B超"
"001208000020000","肠内高营养治疗","","","","","","","",,1,,,,"护理"
"002202020020000","经直肠B超检查","","","","","","","",,1,,,,"B超"
"001201000000100","护理费(波动式气垫床预防褥疮)","","","","","","","",,1,,,,"护理"
"003401000250000","冷疗","","","","","","","",,1,2,,20,"物理治疗"
"003103000040000","视网膜视力检查","","","","","","","",,1,,,,"眼科"
"002203020110000","腔内彩色多普勒超声检查","","","","","","","",,1,,,,"B超"
"003107020160000","心脏电复律术","","","","","","","",,1,,,,"一般诊疗"
"001215000020000","清洁灌肠","","","","","","","",,1,,,,"一般诊疗"
"00330610001","扁桃体切除","","","","","","","",,1,,,,"耳鼻喉"
"003107020150000","经食管心脏调搏术","","","","","","","",,1,,,,"一般诊疗"
"002203020080000","左肾静脉“胡桃夹”综合征检查","","","","","","","",,1,,,,"B超"
"003104010260100","耳鸣检查(他觉耳鸣检查)","","","","","","","",,1,,,,"耳鼻喉"
"003107020170000","心脏电除颤术","","","","","","","",,1,,,,"一般诊疗"
"333106020080000","呼气末二氧化碳分压测定","","","","","","","",,2,,,,"一般诊疗"
"004300000010300","普通针刺(磁针)","","","","","","","",,1,20,,20,"中医治疗"
"003103000440000","巩膜透照检查","","","","","","","",,1,,,,"眼科"
"00330100015","麻醉中监测","","","","","","","",,1,,,,"麻醉"
"003103001060000","泪道探通术","","","","","","","",,1,,,,"眼科"
"003104010460000","鼓膜贴补治疗","","","","","","","",,1,,,,"耳鼻喉"
"003103000400000","角膜地形图检查","","","","","","","",,1,,,,"眼科"
"003112010010000","荧光检查","","","","","","","",,1,,,,"一般诊疗"
"001201000100000","气管切开护理","","","","","","","",,1,,,,"护理"
"002202030020000","小肠充盈及排空功能检查","","","","","","","",,1,,,,"B超"
"003104010100000","声导抗测听","","","","","","","",,1,,,,"耳鼻喉"
"002203010020000","浅表器官彩色多普勒超声检查","","","","","","","",,1,2,,,"B超"
"001209000010000","胃肠减压","","","","","","","",,1,,,,"护理"
"001102000040000","门急诊留观诊查费","","","","","","","",,1,,,,"一般诊疗"
"004300000160300","电针(电冷针灸)","","","","","","","",,1,20,,20,"中医治疗"
"003312030110000","输精管吻合术","","","","","","","",,1,,,,"泌尿"
"003315230050000","颅骨头环牵引术","","","","","","","",,1,,,,"骨科"
"003401000120400","超短波短波治疗(体腔治疗)","","","","","","","",,1,2,,20,"物理治疗"
"003103000210000","对比敏感度检查","","","","","","","",,1,,,,"眼科"
"002101030220000","经皮经肝胆道造影(PTC)","","","","","","","",,1,,,,"放射"
"001214000010001","引流管冲洗(更换引流装置)","","","","","","","",,2,,,,"一般诊疗"
"00310402012","鼻腔冲洗","","","","","","","",,1,,,,"耳鼻喉"
"002101030130000","上消化道造影","","","","","","","",,1,,,,"放射"
"003104010490000","耳部特殊治疗","","","","","","","",,1,,,,"耳鼻喉"
"004500000020000","颈椎病推拿治疗","","","","","","","",,1,,,20,"中医治疗"
"002101030190000","口服法胆道造影","","","","","","","",,1,,,,"放射"
"003104010410000","耵聍冲洗","","","","","","","",,1,,,,"耳鼻喉"
"003114000100000","斑贴试验","","","","","","","",,1,,,,"一般诊疗"
"003107010230000","心输出量测定","","","","","","","",,1,,,,"监测"
"001201000100100","气管切开护理(气管插管护理)","","","","","","","",,1,,,,"护理"
"001104000010000","院前急救费","","","","","","","",,1,,,,"一般诊疗"
"001204000060100","静脉输液(输血)","","","","","","","",,1,,,,"护理"
"002203010010000","彩色多普勒超声常规检查","","","","","","","",,1,2,,,"B超"
"002101030110000","下咽造影","","","","","","","",,1,,,,"放射"
"003104010380000","西格氏耳镜检查","","","","","","","",,1,,,,"耳鼻喉"
"001208000010003","鼻饲管置管(十二指肠灌注)","","","","","","","",,1,,,,"护理"
"001201000110000","吸痰护理","","","","","","","",,1,,,,"护理"
"004400000020300","隔物灸法(隔盐灸)","","","","","","","",,1,,,20,"中医治疗"
"002103000010000","X线计算机体层(CT)平扫","","","","","","","",,1,,,,"放射"
"002102000090000","临床操作的磁共振引导","","","","","","","",,1,,,,"放射"
"003103000330000","上睑下垂检查","","","","","","","",,1,,,,"眼科"
"003107020190000","体外反搏治疗","","","","","","","",,1,,,,"一般诊疗"
"003103000300000","眼球突出度测量","","","","","","","",,1,,,,"眼科"
"331200000000000","ICU单元治疗","","","","","","","",,1,,,,"ICU"
"00330602013","鼻内镜鼻窦","","","","","","","",,1,,,,"耳鼻喉"
"002101030140000","胃肠排空试验","","","","","","","",,1,,,,"放射"
"003103000470000","房水荧光测定","","","","","","","",,1,,,,"眼科"
"003104010120000","镫骨肌反射衰减试验","","","","","","","",,1,,,,"耳鼻喉"
"003103000060000","阿姆斯勒(Amsler)表检查","","","","","","","",,1,,,,"眼科"
"003104010480000","耳廓假性囊肿穿刺压迫治疗","","","","","","","",,1,,,,"耳鼻喉"
"003103000350000","泪液分泌功能测定","","","","","","","",,1,,,,"眼科"
"001201000130000","动静脉置管护理","","","","","","","",,1,,,,"护理"
"002101030010000","气脑造影","","","","","","","",,1,,,,"放射"
"003105010040000","咀嚼功能检查","","","","","","","",,1,,,,"口腔"
"002101030270000","膀胱造影","","","","","","","",,1,,,,"放射"
"003103000340000","泪膜破裂时间测定","","","","","","","",,1,,,,"眼科"
"333106040100000","俯卧位通气治疗","","","","","","","",,2,,,,"一般诊疗"
"003104010230000","中耳共振频率测定","","","","","","","",,1,,,,"耳鼻喉"
"003401000170200","超声波治疗(超声药物透入)","","","","","","","",,1,,,20,"物理治疗"
"002206000080000","右心声学造影","","","","","","","",,1,,,,"B超"
"004100000110000","挑治","","","","","","","",,1,,,20,"中医治疗"
"004500000080800","内科妇科疾病推拿治疗(痛经)","","","","","","","",,1,,,20,"中医治疗"
"004500000080100","内科妇科疾病推拿治疗(II型糖尿病)","","","","","","","",,1,,,20,"中医治疗"
"003401000010000","红外线治疗","","","","","","","",,1,2,,20,"物理治疗"
"002101030020000","脑室碘水造影","","","","","","","",,1,,,,"放射"
"00331501029","胸椎融合术","","","","","","","",,1,,,,"骨科"
"003101000270000","神经阻滞治疗","","","","","","","",,1,,,,"麻醉"
"003103000170000","调节/集合测定","","","","","","","",,1,,,,"眼科"
"003112010010100","荧光检查(会阴)","","","","","","","",,1,,,,"一般诊疗"
"003105010020000","咬合检查","","","","","","","",,1,,,,"口腔"
"004500000080700","内科妇科疾病推拿治疗(月经不调)","","","","","","","",,1,,,20,"中医治疗"
"003316020040000","浅表肿物切除术","","","","","","","",,1,10,,,"普外"
"003104010220000","平衡试验","","","","","","","",,1,,,,"耳鼻喉"
"003104010360000","电耳镜检查","","","","","","","",,1,,,,"耳鼻喉"
"004500000060000","腰椎间盘突出推拿治疗","","","","","","","",,1,,,20,"中医治疗"
"002504050050000","专项变应原(单价变应原)筛查","","","","","","","",,1,,,,"化验"
"002101030150000","小肠插管造影","","","","","","","",,1,,,,"放射"
"003105100040000","口腔局部冲洗上药","","","","","","","",,1,,,,"口腔"
"331200000000001","CCU单元治疗","","","","","","","",,1,,,,"ICU"
"001109000050100","急诊观察床位费(半日)","","","","","","","",,1,,,,"ICU"
"004400000010200","灸法(艾柱灸)","","","","","","","",,1,,,20,"中医治疗"
"002101030230000","T管造影","","","","","","","",,1,,,,"放射"
"00331501036","椎管扩大减压术","","","","","","","",,1,,,,"骨科"
"001208000010001","鼻饲管置管(注食)","","","","","","","",,1,,,,"护理"
"004500000040000","网球肘推拿治疗","","","","","","","",,1,,,20,"中医治疗"
"002101030120000","食管造影","","","","","","","",,1,,,,"放射"
"001204000060000","静脉输液","","","","","","","",,1,,,,"护理"
"003401000170100","超声波治疗(单纯超声)","","","","","","","",,1,,,20,"物理治疗"
"002103000050000","临床操作的CT引导","","","","","","","",,1,,,,"放射"
"003107010280000","血氧饱和度监测","","","","","","","",,1,24,,,"监测"
